title,year,genre,rating,votes,plot,tags
Harry Potter: Wizards Unite,2019,fantasy,6.5,34,Harry Potter: Wizards Unite is an augmented reality game inspired by the Wizarding World that puts magic in the hands of players around the world inspired by J.K. Rowling's original stories...                See full summary »,"['fantasy', 'magic', 'craft', 'book-based', 'ar support', 'wizard-games']"
Layers of Fear 2,2019,"horror, thriller",6.5,228,"Layers of Fear 2 is a first-person, psychological thriller, horror video game with an emphasis on exploration and story. Players control a Hollywood actor who heeds the call of an enigmatic...                See full summary »","['singleplayer', 'full controller support', 'horror']"
Granny Simulator,2019,"action, comedy",6.5,15,"In Granny Simulator there are two players, a feeble old grandmother and her lovely grandson. The grandmothers objective is to complete her every day routine while the grandson utilizes uncanny violence and pure brutality to stop her.","['horror', 'online co-op', 'violent', 'early access', 'education']"
Teenage Mutant Ninja Turtles,2007,"animation, action, adventure",6.5,295,"The Ninja Turtles have since grown apart. But through vigorous training and thrilling battles against all new opponents, they learn to unite and work together as a family in order to save the world from invading monsters.","['singleplayer', 'multiplayer', 'simultaneous', 'up to four players']"
Grey's Anatomy: The Video Game,2009,"drama, romance",6.5,22,The surgeons of Seattle Grace Hospital are forced to deal with a diphtheria outbreak.,"['story', 'death']"
Tetris Evolution,2007,action,6.5,13,Missing,"['singleplayer', 'multiplayer']"
The Complex,2020,"sci-fi, thriller",6.5,317,"Tasked with saving the life of a potential bio-weapons terrorist, two London scientists find themselves in a locked-down laboratory with time, and air, running out.","['singleplayer',  'full controller support', 'atmospheric',  'story rich', 'sci-fi', 'horror', 'pixel graphics', 'retro', 'mystery', 'choices matter', 'top-down', 'interactive fiction', 'other', 'thriller', 'remote play on tv', 'fmv', 'top down shooter', 'backrooms', 'the-backrooms', 'liminal', 'async', 'kane-pixels', 'the-complex']"
Mystery Case Files: Return to Ravenhearst,2010,adventure,6.5,21,"Emma's soul is free. But her ghost has delivered a dire warning: evil still lurks in Ravenhearst Manor. Big Fish Games Studios takes you deep inside the cursed estate in Mystery Case Files: Return to Ravenhearst(TM), the thrilling sequel.","['singleplayer', 'hidden object']"
Rugrats: Royal Ransom,2002,"action, adventure",6.5,19,The Rugrats gang go play on Stu's new backyard invention to play games to go up to the tower to get their stuff back from Angelica the queen,"['multiplayer', 'singleplayer']"
Iron Man/X-O Manowar in Heavy Metal,1996,"action, adventure, crime",6.5,24,The storyline is revealed through onscreen text. Iron Man and X-O Manowar must team up in order to stop a team of supervillains from grabbing the lost fragments of the Cosmic Cube. During ...                See full summary »,"['singleplayer', 'multiplayer']"
Ridge Racer 7,2006,sport,6.5,44,"Drift your way to victory. The fastest, slickest ride of your life has arrived. Prepare to experience adrenaline-fuelled drift racing at its very best.",['exclusive']
Jewel Quest,2004,family,6.5,26,Missing,['puzzles']
FIFA Soccer 96,1995,sport,6.5,151,FIFA Soccer 96 is a video game developed by Extended Play Productions and released by Electronic Arts in 1995.,"['singleplayer', 'multiplayer']"
Bagitman,1984,family,6.5,12,Missing,['singleplayer']
WWE Crush Hour,2003,action,6.5,90,"Vince McMahon seizes control over all television networks, and creates a demolition derby-style show featuring 30 WWE superstars in custom cars with guns on them, and foreign objects to enhance the destruction of the opponent's vehicles.","['singleplayer', 'multiplayer']"
World Championship Snooker 2005,2005,sport,6.5,21,Missing,['exclusive']
X-Men: The Official Game,2006,"action, adventure, fantasy",6.5,753,"Play as Wolverine, Nightcrawler, and Iceman in this action tie-in game that bridges the gap between X2: X-Men United (2003) and X-Men: The Last Stand (2006).",['singleplayer']
King of the Monsters,1991,"action, fantasy, sci-fi",6.5,54,A one-on-one beat-em-up where you can play a big monster. You can also smash the background graphics and collect power-ups.,"['singleplayer', 'co-op', 'controller support', 'monsters']"
Sonic Riders,2006,"action, adventure, family",6.5,338,Dr. Eggman challenges Sonic and friends to a speed race. The prize? A valuable Chaos Emerald.,"['singleplayer', 'multiplayer']"
The Incredibles: Rise of the Underminer,2005,"animation, action, adventure",6.5,210,Mr.Incredible and his buddies go against a new threat,"['singleplayer', 'multiplayer', 'two-player']"
