title,year,genre,rating,votes,plot,tags
Age of Empires: Definitive Edition,2018,"adventure, history, war",8,13,Missing,"['singleplayer',   'online multiplayer', 'local multiplayer', 'includes level editor', 'cross-platform multiplayer', 'historical', 'rts',  'real-time', 'w10 exclusive', 'real time strategy', 'gold', 'real-time-strategy', 'history-based']"
Tales of Monkey Island: Chapter 4 - The Trial and Execution of Guybrush Threepwood,2009,"adventure, comedy, fantasy",8,223,Guybrush is arrested and put on trial for his past actions.,"['singleplayer', 'point & click']"
DeathSpank,2010,"action, adventure, comedy",8,95,"For uncounted years, DeathSpank has been a Dispenser of Justice, a Vanquisher of Evil, and a Hero to the Downtrodden.","['combat', 'island', 'parody', 'evil', 'wizard', 'monkey']"
Katamari Forever,2009,"action, adventure, fantasy",8,67,"The King of All Cosmos hits his head and falls into a slumbering state of amnesia. Meanwhile, the Prince and his cousins build a robo-King to be his temporary replacement, but this new king...                See full summary »",['exclusive']
Star Wars: The Force Unleashed - Ultimate Sith Edition,2009,"action, adventure, fantasy",8,1209,"Casts players as Darth Vader's ""Secret Apprentice,"" unveiling new revelations about the Star Wars galaxy seen through the eyes of a mysterious new character armed with unprecedented powers.","['singleplayer',  'great soundtrack', 'rpg', 'story rich', 'third person', 'sci-fi', 'partial controller support', 'controller', 'hack and slash', ""beat 'em up"", 'quick-time events', 'star wars']"
Mass Effect 2: Kasumi - Stolen Memory,2010,"action, adventure, sci-fi",8,56,"Cerberus has procured the service of Kasumi Goto, the galaxy's most enigmatic master thief.",['rpg']
Overlord: Raising Hell,2007,"action, adventure, comedy",8,6,Missing,"['singleplayer', 'rpg', 'third person', 'partial controller support', 'fantasy', 'funny', 'comedy', 'action rpg', 'action-adventure', 'villain protagonist']"
Ready or Not,2021,"action, crime, thriller",8,21,"Ready or Not is an intense, tactical, first-person shooter that depicts a modern-day world in which SWAT police units are called to defuse hostile and confronting situations.","['singleplayer',  'multiplayer',  'co-op', 'fps', 'online co-op', 'gore', 'steam leaderboards', 'violent', 'online multiplayer', 'tactical', 'stats', 'pvp', 'nudity', 'realistic', 'online pvp']"
Rule of Rose,2006,"drama, horror, mystery",8,240,"In 1930's England, a young woman enters an abandoned manor while looking for someone and becomes imprisoned by a cult of young girls who live on a strange airship. They force her to work for them. She must get her bearings and escape.",['exclusive']
Tales of Monkey Island: Chapter 3 - Lair of the Leviathan,2009,"adventure, comedy, fantasy",8,228,Guybrush and Morgan LeeFlay find themselves in deep trouble after their ship is swallowed by a manatee.,"['singleplayer', 'point & click']"
Cube Escape: Case 23,2015,mystery,8,11,"Take on the role of Detective Dale Vandermeer and investigate the unusual death of a woman. Collect all the evidence at the crime scene, analyse your findings and travel to a mysterious location.","['story', 'death', 'collect', 'escape', 'cube', 'tap']"
Rusty Lake: Roots,2016,mystery,8,19,James Vanderboom's life drastically changes when he plants a special seed in the garden of the house he has inherited.,"['singleplayer',   'horror', 'point & click', 'hidden object', 'room-escape']"
The Artful Escape,2021,"adventure, music, sci-fi",8,362,A kid living in the shadow of his once great and famous uncle must go on a galactic journey of music and self discovery to become his own version of a legend.,"['singleplayer',  'full controller support',  'great soundtrack', 'story rich', 'sci-fi', 'exploration', 'steam trading cards', 'music', 'stylized', 'character', 'beautiful', 'psychedelic', 'relationship']"
Love Island: The Mobile Drama,2021,romance,8,11,Missing,"['singleplayer',   'nudity', 'sexual content']"
Dictators: No Peace Countryballs,2020,"animation, war",8,5,Missing,"['singleplayer', 'point & click', 'war']"
Final Fantasy VII Remake: Episode Intermission,2021,"action, adventure, fantasy",8,91,Follows Yuffie Kisaragi as she enters Midgar in search of a hidden materia.,"['atmospheric', 'rpg', 'exploration', 'action-adventure', 'exclusive', 'cinematic', 'jrpg', 'role playing game']"
The Guardian Legend,1988,"action, adventure, fantasy",8,45,"Long ago, in a distant galaxy, an alien race sent a huge world, hurtling toward Earth, You must battle your way deep within the planet's labyrinths to destroy it. You are the guardian of Earth and your saga will become The Guardian Legend.",['singleplayer']
inFamous,2009,"action, adventure, fantasy",8,4159,"Control Cole MacGrath as he evolves his newly found ability to control electricity. In a city on lock down due to plague and super-powered psychos, you must choose to act as savior to the people or become the reckless demon of Empire City.",['exclusive']
Growlanser Generations,2004,action,8,13,Carmaine just witnessed the death of her parents. So in order to avenge there deaths she becomes a prostitute in this kid friendly dating sim. She is then raped by Hans. After being raped ...                See full summary »,"['exclusive',  'collection (hidden)']"
Muramasa: The Demon Blade,2009,"action, adventure, fantasy",8,46,"Takes place during the Edo period on Japan's main island of Honshu where conflicts have arisen over ownership of the Demon Blades, samurai swords that force their wielders to kill others before bringing tragedy and madness upon them.",['role-playing']
Monster Hunter Stories 2: Wings of Ruin,2021,"action, adventure, fantasy",8,23,A new adventure awaits you in this second installment of the turn-based RPG series set in the world of Monster Hunter! Become a Rider and form bonds with friendly monsters known as Monsties...                See full summary »,"['singleplayer',  'multiplayer', 'full controller support',  'rpg', 'co-op', 'story rich', 'third person', 'online co-op', 'fantasy', 'exploration', 'pvp', 'turn-based', 'character customization', 'online pvp', 'jrpg', 'steam trading cards', 'loot', 'pve', 'cartoony', 'dragons', 'emotional', 'hunting']"
The Lost Crown,2008,"horror, mystery",8,52,Running from his past Nigel travels to the town of Saxton in search of a lost treasure. But soon his past starts to catch up with him. Now he must use new advanced technology to capture ...                See full summary »,"['singleplayer',  'atmospheric',  'story rich', 'horror', 'point & click', 'mystery', 'supernatural']"
Heroes of Might and Magic,2000,fantasy,8,34,Missing,"['singleplayer', 'multiplayer', 'exclusive']"
Tales of Monkey Island,2010,"adventure, comedy, fantasy",8,20,The misadventures of Guybrush Threepwood continue as he tangles with his nemesis LeChuck and accidentally unleashes a voodoo pox.,['singleplayer']
Fallout 4: Far Harbor,2016,"action, adventure, sci-fi",8,73,"A new case from Valentine's Detective Agency leads you on a search for a young woman and a secret colony of synths. Travel off the coast of Maine to the mysterious island of Far Harbor, ...                See full summary »","['space', 'island', 'steam', 'children', 'windows']"
The King of Fighters XV,2021,"action, adventure, fantasy",8,48,SHATTER ALL EXPECTATIONS. Transcend beyond your limits with KOF XV.,"['singleplayer',  'multiplayer', 'full controller support',  'great soundtrack', 'split screen', 'anime', 'pvp', 'competitive', 'online pvp', 'remote play together', 'shared/split screen pvp']"
Wallace & Gromit's Grand Adventures: Fright of the Bumblebees,2009,"action, adventure, comedy",8,55,"Wallace has opened a new business for delivering freshly made honey. He takes up an offer to provide fifty gallons of honey to the local grocer. However, he has used up all the flowers in his garden and is forced to improvise.","['singleplayer', 'tactical rpg', 'unity']"
Scary Teacher 3D,2017,"animation, action, comedy",8,5,Missing,"['horror', 'mystery', 'story', 'movie', 'room', 'school', 'kids']"
Pumpkin Jack,2020,"action, adventure, horror",8,24,"Pumpkin Jack is a Spooky Scary 3D platformer in which you embody Jack, the Mythical Pumpkin Lord. Dive into an Epic Adventure through otherworldly landscapes and help the Evil annihilate the Good.","['singleplayer',  'full controller support', 'dark', 'monsters', 'night', 'endless', 'avoid', 'halloween']"
Five Nights at Sonic's: Maniac Mania,2020,horror,8,30,"The Clones of Sonic, Mario, and their friends are tired of the wiki about them staying open so they all come and try to stop the night guard by cloning themselves.","['singleplayer', 'horror']"
No Man's Sky Beyond,2019,sci-fi,8,17,Travel through a build universe teaming with life. Enjoy well over 30 hours of story and avoid hostile predators that seek fortune for their own,"['singleplayer',  'multiplayer', 'full controller support', 'atmospheric',  'great soundtrack', 'open world', 'first-person', 'sci-fi', 'horror', 'fps', 'exploration', 'sandbox', 'survival', 'space', 'controller support', 'mystery', 'crafting', 'overlay', 'online', 'achievements', 'procedural generation', 'illuminati', 'console', 'epic', 'offline', 'science', 'nature', 'fight', 'cloud saves', 'weapons', 'space sim', 'ship', 'journey', 'planets', 'galaxy', 'light', 'sun', 'sky']"
Hoshi no Kâbî: Kagami no Daimeikyuu,2004,"action, adventure, family",8,719,"When an unforeseen evil threatens the peace in the Mirror World and in Dream Land, Kirby must restore a broken Mirror World as four differently colored ""Kirbys"" to save the day.","['singleplayer', 'walking simulator', 'low-poly']"
Cobra Kai: The Karate Kid Saga Continues,2020,"action, adventure",8,258,"Cobra Kai: The Karate Kid Saga Continues is a side-scrolling beat 'em-up video game based on the American web television series Cobra Kai, developed by Flux Game Studio and published by ...                See full summary »","['singleplayer',  'multiplayer', 'rpg', 'co-op', 'partial controller support', 'split screen', 'stats', 'action-adventure', 'character customization', 'mystery', 'choices matter', 'colorful', ""beat 'em up"", 'combat', 'story', 'multiple endings', 'management', 'hand-drawn', 'america', 'narration', 'epic', 'soundtrack', 'remote play together', 'score attack', 'shared/split screen co-op', 'co-op campaign', 'martial arts', 'combos']"
Rock N' Roll Racing,1993,"action, music, sci-fi",8,107,Arcade car combat racing game and unofficial sequel to RPM Racing. The racers come from various planets and are often parodies of rock musicians. Destroyed cars respawn. Soundtrack consists of five classic rock songs (six on the Genesis).,"['singleplayer', 'multiplayer']"
Bug Fables: The Everlasting Sapling,2019,"action, adventure, comedy",8,22,"The three friends Vi, Kabbu, and Leif search the mythical land of Bugaria in pursuit of vast treasures and eternal life.","['singleplayer',  'full controller support', 'rpg', 'role-playing', 'magic', 'combat', 'story', 'puzzles', 'battle', 'epic', 'party', 'nature', 'explore', 'secrets', 'work', 'treasure', 'ice', 'block', 'bug', 'bee']"
DX-Ball,1996,action,8,6,Missing,['singleplayer']
Civilization IV: Warlords,2006,history,8,8,Missing,"['singleplayer', 'turn-based', 'historical', 'turn-based strategy']"
Dragon Ball: Origins,2008,"action, adventure, comedy",8,68,Play as Goku as you try to protect your friend Bulma and collect the 7 magic Dragon Balls.,"['role-playing', 'exclusive']"
Riders Republic,2021,sport,8,73,"The five main activities available in the game include mountain biking, skiing, snowboarding, wingsuit flying, and rocket wingsuiting. Ubisoft described the game as a ""massively multiplayer...                See full summary »","['multiplayer', 'open world', 'exploration', 'character customization', 'online', 'battle', 'character', 'console', 'offline', 'fight', 'race', 'winter', 'competition', 'skiing', 'bike', 'snowboard', 'winter-sports', 'biking', 'wingsuit']"
The Last Campfire,2020,adventure,8,63,"The Last Campfire is an adventure, a story of a lost ember trapped in a puzzling place, searching for meaning and a way home.","['singleplayer', 'cute', 'colorful']"
No Straight Roads,2020,"action, adventure, comedy",8,33,"Start a rock band and end the EDM empire in NO STRAIGHT ROADS, a rockin' action-adventure that mashes together rhythm-infused third-person combat with a kick-ass soundtrack.","['story', 'music', 'rhythm', 'fight', 'fighter', 'rock']"
Sam & Max: This Time It's Virtual,2021,comedy,8,10,"Jump into the not-quite-right world of Sam and Max via the wonder science of virtual reality, and join the multimedia darlings in their never-ending quest to slap the stupid grin off the face of evil.","['cute', 'unity', 'fox', 'food', 'health']"
Barbie Horse Adventures: Mystery Ride,2003,adventure,8,9,"The plot involves Barbie having to solve the mystery of the missing horse of Barbie's friend Teresa. To do so, the player, as Barbie, has to explore the countryside, consisting of varied ...                See full summary »","['explore', 'race', 'fun', 'train', 'horse']"
Blinx 2: Masters of Time & Space,2004,"action, adventure, sci-fi",8,50,"In Blinx 2, the player controls either a Time Sweeper or a Tom Tom on their mission to prevent a threat which will result in the global catastrophic risk by finding the eight fragments of the all-powerful Big Crystal.",['exclusive']
Spiritfarer,2020,"adventure, drama, fantasy",8,161,"As ferry master to the deceased, build a boat to explore the world, care for your spirit friends, and guide them across mystical seas to finally release them into the afterlife. What will you leave behind?","['singleplayer',  'full controller support',  'local co-op']"
Summer in Mara,2020,adventure,8,8,"Take care of your own island and explore the ocean in this farming adventure. Summer in Mara mix farming, crafting and exploring mechanic in a tropical archipelago with a colorful style and strong narrative.","['singleplayer',  'full controller support', 'other']"
Virtua Fighter Remix,1995,action,8,23,Missing,"['online', 'challenge', 'balance', 'match', 'fighter', 'office', 'room']"
Mobile Legends: Adventure,2019,"action, adventure",8,12,Mobile Legends: Adventure is an epic Idle RPG where all the MLBB heroes reunite. Train your squad of 5 and battle fearsome monsters. Battle your way through Campaign and Tower of Babel.,"['rpg', 'war', 'battle', 'friends', 'hero', 'history', 'challenge', 'collect', 'light', 'arena', 'youtube', 'tower', 'labyrinth']"
F1 2020,2020,sport,8,168,"The twelfth installment in the franchise, and it features all twenty-two circuits, twenty drivers and ten teams present in the 2020 Formula 1 World Championship.","['singleplayer',  'multiplayer', 'full controller support',  'steam leaderboards', 'difficult', 'steam workshop', 'pvp', 'in-app purchases', 'online pvp', 'remote play on tv', 'automobile sim']"
Seven Cities of Gold,1984,adventure,8,7,The Seven Cities of Gold is a strategy video game created by Dan Bunten and Ozark Softscape and published by Electronic Arts in 1984. The player takes the role of a late 15th-century ...                See full summary »,['singleplayer']
Lost in Random,2021,"action, adventure",8,77,"Welcome to the world of Random, a dark kingdom where every citizen's future is determined by the roll of a dice. Will you be defeated by your fate or embrace chaos and learn to make it work...                See full summary »","['singleplayer',  'full controller support', 'story rich', 'third person', 'fantasy', 'exploration', 'female protagonist', 'comedy', 'action rpg', 'action-adventure', 'combat', 'steam trading cards', 'real-time with pause', 'gothic', 'soundtrack', 'deckbuilding']"
Sackboy: A Big Adventure,2020,"adventure, comedy, family",8,219,"Sackboy: A Big Adventure is an upcoming platform game developed by Sumo Digital and published by Sony Interactive Entertainment for the PlayStation 5, part of the LittleBigPlanet series. It...                See full summary »","['singleplayer',  'multiplayer', 'full controller support',  'co-op', 'online co-op', 'exclusive', 'family friendly', 'online', 'console', 'epic', 'party', 'offline', 'race', 'fun', 'work', 'solo', 'knight']"
Reboot,1998,"action, comedy, sci-fi",8,34,The story on the earlier days of Bob in Mainframe.,"['singleplayer', 'exclusive']"
The Red Strings Club,2018,"adventure, mystery, sci-fi",8,37,"In a cyberpunk, dystopian city, a bartender and his partner encounter a mysterious android and set out to uncover a sinister corporate conspiracy.","['singleplayer', 'point & click', 'cyberpunk', 'dystopian', 'lgbtq+']"
N+,2008,"action, adventure",8,36,"You are a ninja, skilled in the art of collecting gold, ninja flips and wall jumps, and avoiding the ninja's other mortal enemy, the robot. Dodge the mines, leap past lasers, and dive past machine guns in your eternal dash towards the exit.","['prequel', 'stephanie-stevens']"
Street Slam,1994,sport,8,10,Missing,"['basketball', 'nes', 'ball', 'defense', 'console']"
Shinobi,1991,action,8,11,Missing,['singleplayer']
Zynga Poker,2007,sport,8,6,Missing,"['singleplayer',   'full controller support', 'steam leaderboards', 'controller', 'choices matter', 'relaxing', 'card game', 'remote play on tv', 'remote play on tablet', 'remote play on phone', 'gambling']"
iRacing,2008,sport,8,9,"iRacing is the leading sim racing software for your PC. Developed as a centralized racing and competition service, iRacing organizes, hosts and officiates online racing on virtual tracks ...                See full summary »","['singleplayer', 'multiplayer', 'first-person', 'partial controller support', 'free to play', 'realistic', 'vr', 'mmo', 'driving']"
Samurai Shodown,2019,action,8,70,"Samurai Shodown, known as Samurai Spirits in Japan, is a fighting game by SNK released in June 2019. The game is a reboot of the Samurai Shodown series and the first ""mainline"" game since ...                See full summary »","['character', 'japan', 'samurai']"
Logical Journey of the Zoombinis,1996,"adventure, family",8,5,Missing,"['singleplayer',  'horror', 'classic', 'family friendly', 'education']"
Saturn Bomberman,1996,action,8,11,Missing,['exclusive']
Jack Keane,2007,"adventure, comedy",8,49,"Captain Jack Keane gets involved with tea eating plants, an evil scientist, a British secret agent and Amanda, who is on the look-out for adventure.","['singleplayer',  'comedy', 'point & click', 'overlay']"
Ancient Evil,2019,horror,8,23,"Still searching for her father who was kidnapped by the Order of Chaos, Scarlett Rhodes and her misfit band of adventurers travel to the hidden heart of Delphi where a Sentinel Trial has ...                See full summary »","['singleplayer',  'atmospheric', 'fantasy', 'early access', 'mystery', 'choices matter', 'turn-based strategy', 'turn-based combat', 'choose your own adventure', 'top-down shooter', 'hidden object', 'swordplay']"
Wild ARMs 5,2006,"action, adventure, sci-fi",8,34,"Humans are currently being ruled over by the Veruni, an alien race that landed on Filgaia 100 years ago. Dean Stark, the protagonist of the story, lives in a secluded village away from all ...                See full summary »","['fantasy', 'western']"
Detective Masochist,2012,romance,8,16,"You are a childhood friend of Satomi's, a beautiful, tall, smart girl. You're in the ""friend zone"" with her and so she's never seen you as more than a friend, but everything's about to change.","['singleplayer',  'visual novel', 'detective']"
AI: The Somnium Files,2019,"adventure, crime, mystery",8,145,"When Koname Date of the Metropolitan Police Department is sent to investigate a horrific murder that occurred at an abandoned amusement park, he and his partner will fall into a chilling investigation through both dream and reality.","['singleplayer',  'partial controller support', 'gore', 'violent']"
"Warhammer 40,000: Inquisitor - Prophecy",2019,"action, adventure, fantasy",8,6,Foul Tyranids rampaging on barren worlds; the mysterious Aeldari waging war on the Imperium; a prophecy that could change the fate of an entire Sector. Purge the unclean with the new Tech-Adept Inquisitor and carry out the Emperor's will.,"['singleplayer', 'multiplayer', 'full controller support', 'rpg', 'co-op', 'online co-op', 'gore', 'violent', 'online multiplayer', 'games workshop', 'warhammer 40k']"
Killzone 2,2009,"action, sci-fi, war",8,1961,"Two years after the Helghast assault on Vekta, the ISA launched an assault on the enemy's home world of Helghan. The ISA goal is to capture the Helghast leader, Emperor Visari, and bring the Helghast war machine to a halt.",['exclusive']
The Backrooms Game,2019,horror,8,8,Missing,"['singleplayer', 'great soundtrack', 'horror', 'difficult', 'free to play', 'survival horror', 'walking simulator', 'cult classic', 'soundtrack', 'abstract']"
The Witch's House,2012,"adventure, horror, thriller",8,25,"The young Viola visits a mysterious house in the woods. She soon discovers its dangerous nature and must find a way out. But the house is ever-changing, and death could be lurking anywhere.","['singleplayer', 'atmospheric', 'perma death', 'rhythm']"
Animal Crossing: New Horizons,2020,"adventure, fantasy",8,1361,"A nonlinear life simulator played in real-time. The player assumes the role of a customizable character who moves to a deserted island after purchasing a vacation package from Tom Nook, a raccoon character who is a staple of the series.","['singleplayer', 'exclusive']"
Shovel Knight: Specter of Torment,2017,"action, adventure, fantasy",8,37,"Take control of Specter Knight, servant to the Enchantress, in a quest to recruit a cadre of knights and create the Order of No Quarter in this new expansion pack for Shovel Knight.","['singleplayer',  'full controller support',   'great soundtrack', 'pixel graphics', 'controller support', 'overlay', 'cloud saves']"
Inazuma Irebun GO: Shine,2011,sport,8,11,Missing,['exclusive']
The Isle,2019,"action, adventure, horror",8,29,A special ops teams find themselves the subject of a live-die-repeat experiment on an island rampant with dinosaurs in this video game spinoff.,"['singleplayer', 'multiplayer', 'rpg', 'co-op', 'open world', 'third person', 'partial controller support', 'sandbox', 'survival', 'early access', 'team-based', 'realistic', 'walking simulator', 'valve anti-cheat enabled', 'hunting', 'dinosaurs']"
Five Nights at Freddy's: Help Wanted,2019,"horror, sci-fi, thriller",8,389,"YOU'RE HIRED - Time to get your hands dirty. Repair claustrophobic ventilation systems, troubleshoot broken animatronics that could activate at any moment, or spend your evenings cowering in the nighttime security guard office.","['fantasy', 'other', 'fun', 'collection', 'universe']"
Deemo: The Last Recital,2015,music,8,6,Missing,"['music', 'story', 'online', 'duel', 'tree', 'girl', 'sky']"
Star Wars: The Force Unleashed,2008,"action, adventure, fantasy",8,7420,"Darth Vader's secret apprentice, codenamed Starkiller, is trained in the Dark Side to defeat the enemies of the Empire, but must find his own path when his master betrays him.","['story', 'galaxy']"
Saints Row 2,2008,"action, crime, drama",8,3288,"Several new upstart gangs have been able to sweep in and make their mark on Stilwater. As leader of the Saints, you'll have to do whatever it takes to protect the members of your gang.","['singleplayer', 'multiplayer',  'great soundtrack', 'co-op', 'open world', 'third person', 'online co-op', 'funny', 'sandbox', 'female protagonist', 'comedy', 'third-person shooter', 'moddable', 'replay value', 'character customization', 'crime', 'overlay', 'co-op campaign']"
"Sam and Max: The Mole, the Mob, and the Meatball",2007,adventure,8,112,Missing,"['singleplayer', 'point & click']"
Final Fantasy XV,2016,"action, adventure, fantasy",8,2895,"After leaving his home city of Insomnia, young prince Noctis embarks on a journey with his closest friends to reclaim his throne.","['rpg', 'fantasy', 'combat', 'story', 'battle', 'friends', 'tanks', 'night']"
Devil May Cry 4,2008,"action, adventure, fantasy",8,2897,A young knight named Nero comes to grips with his newly found power as his beliefs and allegiance are tested when he witnesses Sparda's legendary son Dante slaughter his fellow warriors.,"['singleplayer', 'full controller support', 'atmospheric', 'great soundtrack', 'rpg', 'story rich', 'third person', 'horror', 'fantasy', 'difficult', 'controller', 'hack and slash', ""beat 'em up"", 'stylized', 'demons', 'character action game', 'spectacle fighter']"
Syndicate,1993,"action, sci-fi, thriller",8,115,"As the world of today slipped into the future, multinational corporations grew in size and profit. They came into positions to own small countries and to exercise direct influence over the ...                See full summary »","['war', 'business', 'prototype']"
Nancy Drew: Danger by Design,2006,"adventure, mystery",8,75,Teen detective Nancy Drew goes undercover in Paris to determine the cause of a famous fashion designer's bizarre behavior.,"['singleplayer', 'first-person', 'female protagonist', 'point & click', 'mystery', 'fashion', 'france', 'paris', 'nancy-drew', 'nancy drew']"
Assassin's Creed,2007,"action, adventure, sci-fi",8,18712,"A man enters a machine called the Animus that lets him relive the memories of his ancestor, a 12th century assassin named Altair.","['stealth', 'space', 'assassin', 'character', 'city', 'investigation', 'future', 'single player only', 'office', 'treasure']"
Sega Marine Fishing,2000,sport,8,9,Missing,['singleplayer']
Mansion of Hidden Souls,1993,"adventure, mystery",8,26,A video game with talking butterflies.,['singleplayer']
Fight Night Round 3,2006,"action, adventure, family",8,247,"Third boxing title in the Fight Night franchise, featuring better graphics and gameplay and new modes: ""Impact Punches"", ESPN Classic fights and a new career mode.","['friends', 'fun', 'collection', 'art']"
God Hand,2006,"action, adventure, comedy",8,289,"Using the power of his new right arm, Gene must eliminate all the mobs who are so dead-set on trying to go after his God Hand.","['singleplayer', ""beat 'em up""]"
HeartQuest,1986,family,8,9,Missing,"['action-adventure', 'action rpg', 'dungeon crawler', 'fantasy', 'top-down', 'top down adventure', 'survival-game']"
Railroad Tycoon 3,2003,"adventure, history",8,59,Missing,"['singleplayer', 'multiplayer', 'classic', 'management', 'real-time with pause', 'economy', 'trains']"
International Superstar Soccer 64,1997,sport,8,103,A football video game that is essentially a Nintendo 64 version of International Superstar Soccer Pro.,"['singleplayer', 'multiplayer', 'exclusive']"
International Karate Plus,1987,sport,8,95,"International Karate +, often abbreviated as IK+, is a karate fighting.","['singleplayer',    'rpg', 'funny', 'steam leaderboards', 'exploration', 'stats', 'turn-based', 'replay value', 'roguelike', 'turn-based strategy', 'overlay', 'roguelite', 'achievements', 'economy', 'tactical rpg', 'diplomacy', 'leaderboards']"
Move or Die,2004,mystery,8,9,"An interactive negotiation game which tells the story of Syd and Wilma, two ethically challenged 20-something siblings who encounter a series of escalating moral dilemmas as they travel from Moncton to Montreal.","['singleplayer',  'multiplayer', 'full controller support',   'great soundtrack', 'co-op', 'online co-op', 'funny', 'gore', 'split screen', 'local co-op', 'local multiplayer', 'stats', 'steam workshop', 'includes level editor', 'cross-platform multiplayer', 'moddable', 'memes', 'fast-paced', 'competitive', 'un jugador', 'logros de steam', 'cromos de steam', 'pantalla partida/compartida', 'multijugador', 'incluye editor de niveles', 'estadísticas', 'multijugador multiplataforma', 'compat. total con controlador']"
Samurai Champloo,2006,"action, adventure, comedy",8,172,An action video game based on Samurai Champloo.,['exclusive']
Metal Gear Solid: Digital Graphic Novel,2006,"action, thriller",8,119,"In this interactive adaptation of the comic book version of Metal Gear Solid (1998), the legendary Solid Snake takes on a rogue special forces unit threatening the world with a nuclear strike.",['exclusive']
The Ship,2006,"action, mystery",8,61,First and third person gameplay with a Sims-style day-to-day needs system. You're on board a Ship to play a deadly cat-and-mouse game. Each player is given the name of one of the other ...                See full synopsis »,"['multiplayer', 'character', 'death', 'environment', 'ship', 'room', 'murder', 'avoid']"
College Hoops 2k7,2006,"action, sport",8,24,Missing,['basketball']
Ace Combat 3: Electrosphere,1999,"action, adventure, sci-fi",8,69,Ace Combat 3: Electrosphere is a flight simulation game made by Namco for the PlayStation game console.,"['singleplayer', 'exclusive']"
Shadow Hearts: From the New World,2005,fantasy,8,84,"Set in an alternate version of the Americas during the Prohibition era, the story follows amnesiac private investigator Johnny Garland, who travels with the Native American Shania in pursuit of a malevolent being known as Lady.",['exclusive']
Advance Wars: Dual Strike,2005,"action, adventure, family",8,98,"Omega Land is under attack by a curiously strong Black Hole force. With the newly formed Allied Nations, combining COs from all lands, Black Hole must be pushed out of Wars World for good.","['console', 'nes', 'moon']"
Shout About TV: Disc 1,2005,family,8,13,Missing,"['singleplayer',  'full controller support', 'great soundtrack', 'gore', 'difficult', 'violent', 'retro', 'remote play together']"
Gargoyles,1995,"action, adventure, fantasy",8,40,Goliath must stop the evil Eye of Odin before it destroys the world.,"['singleplayer', 'exclusive']"
"Warhammer 40,000: Dawn of War - Winter Assault",2005,"action, fantasy, sci-fi",8,304,"Expansion pack for Warhammer 40,000: Dawn of War (2004). On Lorn V, the Chaos and Ork forces are attempting to turn this once peaceful place into a bloodbath.","['singleplayer', 'multiplayer', 'sci-fi', 'tactical', 'futuristic', 'rts', 'base building', 'real-time', 'games workshop', 'warhammer 40k']"
Mario Kart DS,2005,"action, adventure, crime",8,2045,"Mario, Luigi and friends continue kart racing in this installment of Mario Kart for the Nintendo DS. Including the first online playability.","['controller', 'battle', 'console', 'race', 'fun', 'minigames', 'nes', 'racer', 'rocket', 'mario', 'ghost']"
Worms World Party,2001,"action, comedy",8,361,Worms World Party is a 2D artillery turn-based tactics game involving controlling a team of worms and using a collection of weaponry to eliminate the opposing team(s).,"['singleplayer', 'multiplayer']"
Ratchet: Deadlocked,2005,"action, adventure, comedy",8,732,"After getting captured by Gleeman Vox, Ratchet is forced to compete in his underground game called DreadZone.","['online', 'deathmatch']"
Sengoku basara,2005,"action, adventure, fantasy",8,33,"It's the Sengoku Jidai era in Feudal Japan. Warlords from all over have risen to take up the cause of unifying the island nation under one flag. Some for peace, others for personal gain. ...                See full summary »","['history', 'unique', 'japan', 'samurai']"
Mobile Suit Gundam: Gundam vs. Zeta Gundam,2004,"action, adventure",8,29,Mobile Suit Gundam: Gundam vs. Zeta Gundam (Kidou Senshi Gundam: Gundam vs. Z Gundam in Japan) is a PS2 and GameCube arcade third-person shooter. It was released on the PlayStation 2 in the...                See full summary »,"['singleplayer', 'multiplayer']"
ActRaiser,1990,"adventure, fantasy",8,135,"A religious allegory game, where the angel has to rebuild 6 civilization cities, while the master is fighting demons and monsters, in this side scrolling platform game, as they work to defeat Tanzra and his demons from Death helm.",['singleplayer']
Tomb Raider: Legend,2006,"action, adventure, fantasy",8,2364,"Lara Croft searches for the mythical sword Excalibur, racing across the world against her presumed dead friend.","['singleplayer', 'third person', 'partial controller support', 'female protagonist', 'controller', 'third-person shooter', 'action-adventure', 'lara croft']"
Duckman,1997,"animation, adventure, comedy",8,162,"After the ended of Duckman: Private Dick/Family Man (1994), Duckman has left his family to become a rich playboy. While enjoying his new lifestyle, he learns that he's been replaced by a ...                See full summary »","['singleplayer',  'atmospheric', 'funny', 'pixel graphics', 'cute']"
World Series of Poker,2005,action,8,44,Missing,['single player only']
It Came from the Desert,1992,"action, adventure, fantasy",8,85,Young rebellious Buzz and his old ant-expert professor Doc have seven days to try to find a way to stop the invasion of hyper-intelligent mind-controlling mutated ants led by monstrous AntMind on their small desert town and save the world.,['singleplayer']
Muppets Party Cruise,2003,adventure,8,35,The Muppets decide to take a 'well deserved' vacation. However they accidentally buy tickets for deck 1 instead of first class. They now need to play a wide selection of mini-games to work their way up to first class.,"['multiplayer', 'singleplayer']"
Still Life,2005,"crime, horror, mystery",8,349,A young FBI agent is on the trail of a brutal serial killer. She discovers that her grandfather worked on a very similar case in Central Europe more than half a century earlier.,"['singleplayer', 'horror', 'female protagonist', 'point & click', 'mystery', 'crime', 'detective', 'noir']"
